Data,Descrição,Valor,Pagamento,Categoria
11/01/2019,Supermercado,R$ 37,43,Débito,Mercearia
11/01/2019,Supermercado,R$ 10,15,Débito,Mercearia
11/01/2019,Phone Company,R$ 89,54,Débito,Conta Telefonica
11/02/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
11/04/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
11/05/2019,Cervejaria,R$ 22,80,Débito,Bares e Bebidas
11/05/2019,Loja de Ferragens,R$ 15,47,Débito,Melhorias em Casa
11/05/2019,Loja de Ferragens,R$ 6,40,Débito,Melhorias em Casa
11/05/2019,Restaurante Grego,R$ 23,26,Débito,Restaurantes
11/07/2019,Cervejaria,R$ 20,00,Débito,Bares e Bebidas
11/07/2019,QuikTrip,R$ 29,15,Débito,Combustível
11/07/2019,Loja de Ferragens,R$ 10,02,Débito,Melhorias em Casa
11/08/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
11/08/2019,Cartão de Crédito,R$ 421,96,Crédito,Cartão de Crédito
11/09/2019,Supermercado,R$ 5,64,Débito,Mercearia
11/09/2019,Loja de Ferragens,R$ 37,41,Débito,Melhorias em Casa
11/11/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
11/02/2020,American Tavern,R$ 16,80,Débito,Bares e Bebidas
11/02/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
11/03/2020,Movie Theater,R$ 17,00,Débito,Filmes e DVDs
11/03/2020,American Tavern,R$ 28,40,Débito,Restaurantes
11/05/2020,Cartão de Crédito,R$ 582,99,Crédito,Cartão de Crédito
11/05/2020,Cartão de Crédito,R$ 751,50,Crédito,Cartão de Crédito
11/06/2020,Cartão de Crédito,R$ 582,99,Débito,Cartão de Crédito
11/06/2020,Supermercado,R$ 6,27,Débito,Mercearia
12/01/2018,Supermercado,R$ 5,64,Débito,Mercearia
12/01/2018,Restaurante de Brunch,R$ 8,00,Débito,Restaurantes
12/01/2018,Amazon,R$ 13,13,Débito,Compras
12/03/2018,Posto de Gasolina,R$ 30,03,Débito,Combustível
12/03/2018,Supermercado,R$ 148,15,Débito,Mercearia
12/03/2018,Pagamento da IPTU,R$ 1.209,18,Débito,Hipoteca e Aluguel
12/04/2018,Starbucks,R$ 3,00,Débito,Cafés
12/04/2018,Latin Restaurant,R$ 20,65,Débito,Fast Food
12/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
12/06/2018,Supermercado,R$ 21,38,Débito,Mercearia
12/06/2018,Supermercado,R$ 13,48,Débito,Mercearia
12/06/2018,Gas Company,R$ 40,00,Débito,Serviços Públicos
12/07/2018,Barbershop,R$ 30,00,Débito,Corte de Cabelo
12/07/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
12/08/2018,Supermercado,R$ 12,64,Débito,Mercearia
12/09/2018,Spotify,R$ 10,69,Débito,Música
12/11/2018,Restaurante de Brunch,R$ 10,29,Débito,Restaurantes
12/12/2018,Phone Company,R$ 89,54,Débito,Conta Telefonica
12/01/2019,Thai Restaurant,R$ 27,00,Débito,Restaurantes
12/02/2019,Supermercado,R$ 21,39,Débito,Mercearia
12/02/2019,Loja de Ferragens,R$ 17,10,Débito,Melhorias em Casa
12/02/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
12/05/2019,American Tavern,R$ 63,00,Débito,Food & Dining
12/05/2019,Posto de Gasolina,R$ 20,01,Débito,Combustível
12/05/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
12/06/2019,Starbucks,R$ 3,00,Débito,Cafés
12/06/2019,Cartão de Crédito,R$ 311,02,Crédito,Cartão de Crédito
12/06/2019,Cartão de Crédito,R$ 311,02,Débito,Cartão de Crédito
12/06/2019,Fancy Restaurant,R$ 56,52,Débito,Restaurantes
12/06/2019,Amazon,R$ 49,99,Débito,Compras
12/06/2019,Amazon,R$ 41,72,Débito,Compras
12/06/2019,Amazon,R$ 24,30,Débito,Compras
12/07/2019,State Farm,R$ 75,00,Débito,Seguro Automóvel
12/07/2019,Amazon,R$ 43,01,Débito,Compras
12/08/2019,Cartão de Crédito,R$ 464,03,Crédito,Cartão de Crédito
12/08/2019,Shell,R$ 30,38,Débito,Combustível
12/09/2019,Cartão de Crédito,R$ 464,03,Débito,Cartão de Crédito
12/09/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
12/10/2019,New York Deli,R$ 21,38,Débito,Fast Food
12/10/2019,Loja de Ferragens,R$ 22,14,Débito,Melhorias em Casa
12/11/2019,Loja de Ferragens,R$ 28,00,Débito,Melhorias em Casa
12/12/2019,Loja de Ferragens,R$ 38,40,Débito,Melhorias em Casa
12/02/2020,Chick-Fil-A,R$ 56,07,Débito,Fast Food
12/02/2020,Shell,R$ 32,47,Débito,Combustível
12/02/2020,Shell,R$ 7,48,Débito,Combustível
12/02/2020,Provedor de Serviços de Internet,R$ 75,99,Débito,Internet
12/02/2020,Amazon,R$ 44,99,Débito,Compras
12/04/2020,Cervejaria,R$ 12,00,Débito,Bares e Bebidas
12/05/2020,Cervejaria,R$ 14,00,Débito,Bares e Bebidas
12/05/2020,Cartão de Crédito,R$ 860,05,Crédito,Cartão de Crédito
12/05/2020,Supermercado,R$ 55,04,Débito,Mercearia
01/01/2019,Amazon,R$ 13,09,Débito,Compras
01/02/2019,Cartão de Crédito,R$ 499,60,Débito,Cartão de Crédito
01/03/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
01/03/2019,Amazon,R$ 42,10,Débito,Compras
01/04/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
01/05/2019,American Tavern,R$ 23,49,Débito,Restaurantes
01/08/2019,Gas Company,R$ 45,00,Débito,Serviços Públicos
01/09/2019,Cartão de Crédito,R$ 491,45,Crédito,Cartão de Crédito
01/09/2019,Cartão de Crédito,R$ 491,45,Débito,Cartão de Crédito
01/09/2019,Cartão de Crédito,R$ 281,84,Débito,Cartão de Crédito
01/09/2019,Spotify,R$ 10,69,Débito,Música
01/10/2019,Supermercado,R$ 58,79,Débito,Mercearia
01/10/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
01/10/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
01/02/2020,Shell,R$ 28,92,Débito,Combustível
01/03/2020,Supermercado,R$ 6,06,Débito,Mercearia
01/04/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
01/04/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
01/06/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
01/06/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
01/09/2020,Cartão de Crédito,R$ 277,99,Crédito,Cartão de Crédito
01/10/2020,Cartão de Crédito,R$ 277,99,Débito,Cartão de Crédito
01/12/2020,Supermercado,R$ 21,06,Débito,Mercearia
01/12/2020,Amazon,R$ 11,70,Débito,Compras
01/12/2020,Amazon,R$ 4,21,Débito,Compras
01/01/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
01/07/2021,Cartão de Crédito,R$ 1.900,00,Débito,Cartão de Crédito
01/07/2021,Shell,R$ 31,32,Débito,Combustível
02/01/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
02/01/2019,Roadside Diner,R$ 9,47,Débito,Restaurantes
02/01/2019,Amazon,R$ 13,09,Débito,Compras
02/04/2019,Loja de Ferragens,R$ 86,97,Débito,Melhorias em Casa
02/04/2019,Netflix,R$ 11,76,Débito,Television
02/05/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
02/07/2019,Gas Company,R$ 65,00,Débito,Serviços Públicos
02/08/2019,Starbucks,R$ 3,00,Débito,Cafés
02/08/2019,Thai Restaurant,R$ 27,47,Débito,Restaurantes
02/09/2019,Spotify,R$ 10,69,Débito,Música
02/11/2019,Starbucks,R$ 3,00,Débito,Cafés
02/11/2019,Cartão de Crédito,R$ 133,95,Débito,Cartão de Crédito
02/11/2019,Posto de Gasolina,R$ 24,01,Débito,Combustível
02/12/2019,Supermercado,R$ 30,54,Débito,Mercearia
02/12/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
02/01/2020,Supermercado,R$ 8,21,Débito,Mercearia
02/03/2020,Cartão de Crédito,R$ 207,47,Crédito,Cartão de Crédito
02/03/2020,Cartão de Crédito,R$ 207,47,Débito,Cartão de Crédito
02/03/2020,Supermercado,R$ 4,59,Débito,Mercearia
02/03/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
02/03/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
02/04/2020,Cervejaria,R$ 8,00,Débito,Bares e Bebidas
02/04/2020,American Tavern,R$ 32,75,Débito,Restaurantes
02/04/2020,Amazon,R$ 37,45,Débito,Compras
02/07/2020,Cartão de Crédito,R$ 574,84,Débito,Cartão de Crédito
02/07/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
02/08/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
02/08/2020,Cartão de Crédito,R$ 292,54,Crédito,Cartão de Crédito
02/08/2020,Barbershop,R$ 30,00,Débito,Corte de Cabelo
02/09/2020,Cartão de Crédito,R$ 292,54,Débito,Cartão de Crédito
02/09/2020,Supermercado,R$ 46,96,Débito,Mercearia
02/01/2021,Posto de Gasolina,R$ 33,80,Débito,Combustível
02/01/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
02/03/2021,Roadside Diner,R$ 25,77,Débito,Restaurantes
02/04/2021,Supermercado,R$ 32,07,Débito,Mercearia
03/01/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/01/2019,Amazon,R$ 13,09,Débito,Compras
03/04/2019,Supermercado,R$ 92,04,Débito,Mercearia
03/04/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
03/04/2019,Netflix,R$ 11,76,Débito,Television
03/05/2019,Fancy Restaurant,R$ 7,00,Débito,Restaurantes
03/06/2019,Cartão de Crédito,R$ 491,86,Débito,Cartão de Crédito
03/08/2019,Posto de Gasolina,R$ 34,08,Débito,Combustível
03/08/2019,Amazon,R$ 27,17,Débito,Compras
03/08/2019,Gas Company,R$ 49,00,Débito,Serviços Públicos
03/09/2019,Spotify,R$ 10,69,Débito,Música
03/12/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
03/12/2019,Bakery Place,R$ 3,02,Débito,Restaurantes
03/01/2020,Cartão de Crédito,R$ 532,86,Crédito,Cartão de Crédito
03/01/2020,Cartão de Crédito,R$ 301,79,Crédito,Cartão de Crédito
03/02/2020,Cartão de Crédito,R$ 305,27,Débito,Cartão de Crédito
03/02/2020,Cartão de Crédito,R$ 301,79,Débito,Cartão de Crédito
03/02/2020,Restaurante de Brunch,R$ 8,00,Débito,Restaurantes
03/03/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/03/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
03/06/2020,Best Buy,R$ 320,99,Débito,Eletrônicos e Software
03/06/2020,Supermercado,R$ 16,23,Débito,Mercearia
03/07/2020,Amazon,R$ 13,84,Débito,Compras
03/07/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
03/08/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
03/10/2020,Posto de Gasolina,R$ 37,51,Débito,Combustível
03/11/2020,Starbucks,R$ 5,20,Débito,Cafés
03/01/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
03/02/2021,Amazon,R$ 16,04,Débito,Compras
03/03/2021,Cervejaria,R$ 49,63,Débito,Bares e Bebidas
03/03/2021,Supermercado,R$ 4,46,Débito,Mercearia
03/05/2021,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/06/2021,Starbucks,R$ 12,84,Débito,Cafés
03/07/2021,Cartão de Crédito,R$ 957,60,Crédito,Cartão de Crédito
04/01/2019,Cartão de Crédito,R$ 1.552,65,Débito,Cartão de Crédito
04/01/2019,Cartão de Crédito,R$ 600,51,Crédito,Cartão de Crédito
04/01/2019,Amazon,R$ 13,09,Débito,Compras
04/02/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
04/04/2019,Supermercado,R$ 5,64,Débito,Mercearia
04/04/2019,Amazon,R$ 35,90,Débito,Compras
04/04/2019,Netflix,R$ 11,76,Débito,Television
04/06/2019,Amazon,R$ 27,54,Débito,Compras
04/08/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
04/09/2019,Cartão de Crédito,R$ 436,75,Débito,Cartão de Crédito
04/09/2019,Supermercado,R$ 10,70,Débito,Mercearia
04/09/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
04/09/2019,Spotify,R$ 10,69,Débito,Música
04/10/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
04/12/2019,Best Buy,R$ 44,93,Débito,Eletrônicos e Software
04/12/2019,Supermercado,R$ 41,34,Débito,Mercearia
04/12/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
04/01/2020,QuikTrip,R$ 38,94,Débito,Combustível
04/01/2020,Supermercado,R$ 16,87,Débito,Mercearia
04/01/2020,Vietnamese Restaurant,R$ 20,64,Débito,Restaurantes
04/03/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
04/04/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
04/06/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
04/06/2020,Cartão de Crédito,R$ 604,32,Crédito,Cartão de Crédito
04/06/2020,Cartão de Crédito,R$ 458,10,Crédito,Cartão de Crédito
04/07/2020,Cartão de Crédito,R$ 604,32,Débito,Cartão de Crédito
04/07/2020,Supermercado,R$ 10,89,Débito,Mercearia
04/10/2020,Cervejaria,R$ 14,40,Débito,Bares e Bebidas
04/10/2020,Restaurante Grego,R$ 64,52,Débito,Restaurantes
04/11/2020,Loja de Ferragens,R$ 29,56,Débito,Melhorias em Casa
04/01/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
04/02/2021,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
04/03/2021,Cervejaria,R$ 40,00,Débito,Bares e Bebidas
04/03/2021,Cartão de Crédito,R$ 268,96,Crédito,Cartão de Crédito
04/03/2021,American Tavern,R$ 14,74,Débito,Restaurantes
04/05/2021,Cartão de Crédito,R$ 268,96,Débito,Cartão de Crédito
04/05/2021,Supermercado,R$ 5,64,Débito,Mercearia
04/06/2021,Posto de Gasolina,R$ 39,08,Débito,Combustível
05/01/2019,Amazon,R$ 13,09,Débito,Compras
05/02/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
05/03/2019,Cartão de Crédito,R$ 758,07,Débito,Cartão de Crédito
05/04/2019,Netflix,R$ 13,90,Débito,Television
05/06/2019,Amazon,R$ 16,94,Débito,Compras
05/07/2019,Amazon,R$ 38,56,Débito,Compras
05/09/2019,Best Buy,R$ 331,69,Débito,Eletrônicos e Software
05/09/2019,Spotify,R$ 10,69,Débito,Música
05/09/2019,Target,R$ 3,20,Débito,Compras
05/09/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
05/10/2019,Best Buy,R$ 21,39,Débito,Eletrônicos e Software
05/10/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
05/10/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
05/01/2020,Cartão de Crédito,R$ 480,88,Débito,Cartão de Crédito
05/01/2020,QuikTrip,R$ 35,24,Débito,Combustível
05/01/2020,Fancy Restaurant,R$ 98,19,Débito,Restaurantes
05/01/2020,Restaurante Grego,R$ 23,11,Débito,Restaurantes
05/02/2020,Supermercado,R$ 2,02,Débito,Mercearia
05/03/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
05/05/2020,Cartão de Crédito,R$ 575,33,Crédito,Cartão de Crédito
05/05/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
05/08/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
05/08/2020,Cartão de Crédito,R$ 415,47,Débito,Cartão de Crédito
05/08/2020,American Tavern,R$ 32,53,Débito,Restaurantes
05/12/2020,Cartão de Crédito,R$ 765,68,Crédito,Cartão de Crédito
05/12/2020,Loja de Ferragens,R$ 27,96,Débito,Melhorias em Casa
05/12/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
05/12/2020,Restaurante de Brunch,R$ 8,00,Débito,Restaurantes
05/01/2021,QuikTrip,R$ 36,76,Débito,Combustível
05/01/2021,Loja de Ferragens,R$ 30,99,Débito,Melhorias em Casa
05/03/2021,Mexican Restaurant,R$ 34,33,Débito,Restaurantes
05/04/2021,Cartão de Crédito,R$ 765,68,Débito,Cartão de Crédito
05/06/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
05/06/2021,American Tavern,R$ 34,82,Débito,Restaurantes
06/01/2019,Amazon,R$ 13,09,Débito,Compras
06/03/2019,Starbucks,R$ 2,75,Débito,Cafés
06/03/2019,Cartão de Crédito,R$ 260,95,Crédito,Cartão de Crédito
06/03/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
06/04/2019,Barbershop,R$ 30,00,Débito,Corte de Cabelo
06/04/2019,Netflix,R$ 13,90,Débito,Television
06/05/2019,Supermercado,R$ 23,00,Débito,Mercearia
06/05/2019,Mexican Restaurant,R$ 23,24,Débito,Restaurantes
06/06/2019,Starbucks,R$ 3,75,Débito,Cafés
06/06/2019,Supermercado,R$ 5,64,Débito,Mercearia
06/07/2019,Cartão de Crédito,R$ 458,56,Débito,Cartão de Crédito
06/07/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
06/07/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
06/09/2019,Spotify,R$ 10,69,Débito,Música
06/12/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
06/01/2020,Cartão de Crédito,R$ 152,72,Crédito,Cartão de Crédito
06/01/2020,Cartão de Crédito,R$ 152,72,Débito,Cartão de Crédito
06/02/2020,Supermercado,R$ 10,69,Débito,Mercearia
06/03/2020,Posto de Gasolina,R$ 33,16,Débito,Combustível
06/05/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
06/05/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
06/06/2020,Cervejaria,R$ 15,00,Débito,Bares e Bebidas
06/06/2020,Shell,R$ 41,83,Débito,Combustível
06/07/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
06/08/2020,Cartão de Crédito,R$ 375,26,Débito,Cartão de Crédito
06/08/2020,Mike's Construction Co.,R$ 9.200,00,Débito,Melhorias em Casa
06/08/2020,Cartão de Crédito,R$ 100,68,Crédito,Cartão de Crédito
06/09/2020,Cartão de Crédito,R$ 100,68,Débito,Cartão de Crédito
06/09/2020,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
06/12/2020,Cervejaria,R$ 15,00,Débito,Bares e Bebidas
06/04/2021,Posto de Gasolina,R$ 30,64,Débito,Combustível
06/06/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
07/01/2019,Starbucks,R$ 7,00,Débito,Cafés
07/01/2019,Supermercado,R$ 99,47,Débito,Mercearia
07/01/2019,Hawaiian Grill,R$ 24,97,Débito,Restaurantes
07/01/2019,Thai Restaurant,R$ 24,00,Débito,Restaurantes
07/01/2019,Amazon,R$ 13,09,Débito,Compras
07/02/2019,Loja de Ferragens,R$ 229,90,Débito,Melhorias em Casa
07/02/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
07/04/2019,Netflix,R$ 13,90,Débito,Television
07/05/2019,Cervejaria,R$ 19,00,Débito,Bares e Bebidas
07/05/2019,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
07/06/2019,Cartão de Crédito,R$ 220,08,Crédito,Cartão de Crédito
07/06/2019,Supermercado,R$ 92,98,Débito,Mercearia
07/06/2019,Restaurante Grego,R$ 23,26,Débito,Restaurantes
07/07/2019,Loja de Ferragens,R$ 103,14,Débito,Melhorias em Casa
07/08/2019,Cartão de Crédito,R$ 305,28,Débito,Cartão de Crédito
07/08/2019,Cartão de Crédito,R$ 220,08,Débito,Cartão de Crédito
07/09/2019,Cartão de Crédito,R$ 549,72,Crédito,Cartão de Crédito
07/09/2019,Spotify,R$ 10,69,Débito,Música
07/10/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
07/10/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
07/03/2020,Supermercado,R$ 87,14,Débito,Mercearia
07/04/2020,Amazon,R$ 89,99,Débito,Compras
07/04/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
07/05/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
07/06/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
07/06/2020,Cartão de Crédito,R$ 814,50,Débito,Cartão de Crédito
07/06/2020,Posto de Gasolina,R$ 36,42,Débito,Combustível
07/06/2020,Supermercado,R$ 29,83,Débito,Mercearia
07/06/2020,Restaurante de Brunch,R$ 8,82,Débito,Restaurantes
07/07/2020,Cartão de Crédito,R$ 115,52,Crédito,Cartão de Crédito
07/07/2020,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
07/07/2020,Mexican Restaurant,R$ 28,00,Débito,Restaurantes
07/10/2020,Cartão de Crédito,R$ 257,08,Crédito,Cartão de Crédito
07/10/2020,Thai Restaurant,R$ 26,67,Débito,Restaurantes
07/11/2020,Cartão de Crédito,R$ 257,08,Débito,Cartão de Crédito
07/12/2020,Starbucks,R$ 2,50,Débito,Cafés
07/03/2021,Barbershop,R$ 30,00,Débito,Corte de Cabelo
07/04/2021,Loja de Ferragens,R$ 44,31,Débito,Melhorias em Casa
07/05/2021,Supermercado,R$ 5,35,Débito,Mercearia
07/05/2021,Fancy Restaurant,R$ 44,92,Débito,Restaurantes
07/06/2021,Supermercado,R$ 15,77,Débito,Mercearia
07/06/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
08/01/2019,Amazon,R$ 13,09,Débito,Compras
08/02/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
08/02/2019,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
08/03/2019,Posto de Gasolina,R$ 36,36,Débito,Combustível
08/03/2019,Supermercado,R$ 3,96,Débito,Mercearia
08/03/2019,American Tavern,R$ 23,47,Débito,Restaurantes
08/04/2019,Netflix,R$ 13,90,Débito,Television
08/05/2019,Cervejaria,R$ 18,00,Débito,Bares e Bebidas
08/05/2019,Cartão de Crédito,R$ 349,28,Crédito,Cartão de Crédito
08/05/2019,Cartão de Crédito,R$ 117,65,Crédito,Cartão de Crédito
08/06/2019,Cartão de Crédito,R$ 521,17,Débito,Cartão de Crédito
08/06/2019,Cartão de Crédito,R$ 117,65,Débito,Cartão de Crédito
08/06/2019,Loja de Ferragens,R$ 125,00,Débito,Melhorias em Casa
08/08/2019,Supermercado,R$ 11,72,Débito,Mercearia
08/09/2019,Spotify,R$ 10,69,Débito,Música
08/09/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
08/12/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
08/12/2019,Thai Restaurant,R$ 26,67,Débito,Restaurantes
08/02/2020,Starbucks,R$ 2,75,Débito,Cafés
08/03/2020,Cartão de Crédito,R$ 335,20,Débito,Cartão de Crédito
08/03/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
08/04/2020,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
08/04/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
08/05/2020,Cartão de Crédito,R$ 87,17,Crédito,Cartão de Crédito
08/05/2020,Supermercado,R$ 33,15,Débito,Mercearia
08/05/2020,Barbershop,R$ 19,00,Débito,Corte de Cabelo
08/05/2020,American Tavern,R$ 3,50,Débito,Restaurantes
08/07/2020,Cartão de Crédito,R$ 1.248,95,Débito,Cartão de Crédito
08/08/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
08/08/2020,Starbucks,R$ 2,75,Débito,Cafés
08/09/2020,Shell,R$ 34,69,Débito,Combustível
08/11/2020,Starbucks,R$ 2,75,Débito,Cafés
08/01/2021,Restaurante de Brunch,R$ 39,43,Débito,Restaurantes
08/02/2021,Loja de Ferragens,R$ 66,75,Débito,Melhorias em Casa
08/05/2021,Starbucks,R$ 3,00,Débito,Cafés
08/06/2021,Starbucks,R$ 2,75,Débito,Cafés
08/06/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
08/06/2021,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
08/07/2021,Loja de Ferragens,R$ 68,04,Débito,Melhorias em Casa
08/07/2021,Restaurante de Churrasco,R$ 41,78,Débito,Restaurantes
09/01/2019,Amazon,R$ 13,09,Débito,Compras
09/03/2019,Pagamento da IPTU,R$ 1.100,00,Débito,Hipoteca e Aluguel
09/03/2019,Fancy Restaurant,R$ 41,24,Débito,Restaurantes
09/04/2019,Netflix,R$ 13,90,Débito,Television
09/05/2019,Starbucks,R$ 3,75,Débito,Cafés
09/06/2019,Cartão de Crédito,R$ 1.390,37,Crédito,Cartão de Crédito
09/06/2019,Cartão de Crédito,R$ 1.390,37,Débito,Cartão de Crédito
09/06/2019,Cartão de Crédito,R$ 502,75,Débito,Cartão de Crédito
09/07/2019,Cervejaria,R$ 12,87,Débito,Bares e Bebidas
09/08/2019,Cervejaria,R$ 19,30,Débito,Bares e Bebidas
09/09/2019,Shell,R$ 28,77,Débito,Combustível
09/09/2019,Supermercado,R$ 65,09,Débito,Mercearia
09/09/2019,Loja de Ferragens,R$ 26,25,Débito,Melhorias em Casa
09/09/2019,Spotify,R$ 10,69,Débito,Música
09/09/2019,Gas Company,R$ 30,00,Débito,Serviços Públicos
09/11/2019,Cartão de Crédito,R$ 360,56,Crédito,Cartão de Crédito
09/11/2019,Phone Company,R$ 65,00,Débito,Conta Telefonica
09/12/2019,Cartão de Crédito,R$ 360,56,Débito,Cartão de Crédito
09/01/2020,Starbucks,R$ 2,75,Débito,Cafés
09/01/2020,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
09/02/2020,Supermercado,R$ 46,44,Débito,Mercearia
09/03/2020,Amazon,R$ 47,66,Débito,Compras
09/04/2020,Cartão de Crédito,R$ 90,57,Débito,Cartão de Crédito
09/04/2020,Cartão de Crédito,R$ 90,57,Crédito,Cartão de Crédito
09/04/2020,Conta de água,R$ 35,00,Débito,Serviços Públicos
09/05/2020,Cartão de Crédito,R$ 186,13,Crédito,Cartão de Crédito
09/05/2020,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
09/06/2020,State Farm,R$ 75,00,Débito,Seguro Automóvel
09/06/2020,Cartão de Crédito,R$ 1.606,46,Débito,Cartão de Crédito
09/07/2020,Cervejaria,R$ 40,81,Débito,Bares e Bebidas
09/07/2020,Starbucks,R$ 2,75,Débito,Cafés
09/08/2020,Cartão de Crédito,R$ 9,43,Crédito,Cartão de Crédito
09/10/2020,Seafood Restaurant,R$ 131,10,Débito,Restaurantes
09/11/2020,Cartão de Crédito,R$ 9,43,Débito,Cartão de Crédito
09/11/2020,Supermercado,R$ 27,71,Débito,Mercearia
09/11/2020,Amazon,R$ 24,63,Débito,Compras
09/03/2021,Salário Quinzenal,R$ 2.250,00,Crédito,Salário
09/04/2021,Posto de Gasolina,R$ 33,46,Débito,Combustível
09/06/2021,Starbucks,R$ 1,75,Débito,Cafés
09/06/2021,Provedor de Serviços de Internet,R$ 75,00,Débito,Internet
